Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744079929,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744079930,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744079931,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744079932,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744079933,40,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744079934,50,POST,/create_order,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,10,0,4700.0,4663.122700797976,4592.281565986923,4715.188711008523,67.0
1744079934,50,,Aggregated,0.000000,0.000000,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,10,0,4700.0,4663.122700797976,4592.281565986923,4715.188711008523,67.0
1744079935,60,POST,/create_order,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,20,0,4700.0,4686.632696547895,4592.281565986923,4764.346366995596,67.0
1744079935,60,,Aggregated,0.000000,0.000000,4700,4700,4700,4700,4800,4800,4800,4800,4800,4800,4800,20,0,4700.0,4686.632696547895,4592.281565986923,4764.346366995596,67.0
1744079936,70,POST,/create_order,0.000000,0.000000,4700,4700,4700,4700,4800,4800,4800,4800,4800,4800,4800,30,0,4700.0,4685.317189764949,4592.281565986923,4764.346366995596,67.0
1744079936,70,,Aggregated,0.000000,0.000000,4700,4700,4700,4700,4800,4800,4800,4800,4800,4800,4800,30,0,4700.0,4685.317189764949,4592.281565986923,4764.346366995596,67.0
1744079937,80,POST,/create_order,1.666667,0.000000,4700,4700,4700,4700,4800,4800,4800,4800,4800,4800,4800,40,0,4700.0,4677.878022474397,4575.419024011353,4764.346366995596,67.0
1744079937,80,,Aggregated,1.666667,0.000000,4700,4700,4700,4700,4700,4800,4800,4800,4800,4800,4800,40,0,4700.0,4677.878022474397,4575.419024011353,4764.346366995596,67.0
1744079938,90,POST,/create_order,2.857143,0.000000,4700,4700,4800,4800,4900,5000,5000,5000,5000,5000,5000,47,0,4700.0,4718.036941297543,4575.419024011353,5005.583663994912,67.0
1744079938,90,,Aggregated,2.857143,0.000000,4700,4700,4700,4800,4900,5000,5000,5000,5000,5000,5000,47,0,4700.0,4718.036941297543,4575.419024011353,5005.583663994912,67.0
1744079939,100,POST,/create_order,3.750000,0.000000,4700,4800,4900,5000,5300,5300,5400,5400,5400,5400,5400,55,0,4700.0,4790.321824181327,4575.419024011353,5350.280272992677,67.0
1744079939,100,,Aggregated,3.750000,0.000000,4700,4700,4900,5000,5000,5300,5300,5400,5400,5400,5400,55,0,4700.0,4790.321824181327,4575.419024011353,5350.280272992677,67.0
1744079940,110,POST,/create_order,4.444444,0.000000,4800,5000,5300,5300,5400,5900,5900,5900,5900,5900,5900,64,0,4700.0,4909.5858290309025,4575.419024011353,5924.659431009786,67.0
1744079940,110,,Aggregated,4.444444,0.000000,4700,4900,5000,5300,5400,5900,5900,5900,5900,5900,5900,64,0,4700.0,4909.5858290309025,4575.419024011353,5924.659431009786,67.0
1744079941,120,POST,/create_order,4.700000,0.000000,4900,5400,5900,5900,6200,6200,6300,6300,6300,6300,6300,77,0,4800.0,5119.5953823764,4575.419024011353,6269.0842150041135,67.0
1744079941,120,,Aggregated,4.700000,0.000000,4800,5300,5400,5900,6100,6200,6300,6300,6300,6300,6300,77,0,4800.0,5119.5953823764,4575.419024011353,6269.0842150041135,67.0
1744079942,130,POST,/create_order,5.500000,0.000000,5000,5400,5900,6000,6200,6300,6300,6300,6300,6300,6300,80,0,4800.0,5163.453432262213,4575.419024011353,6295.893287999206,67.0
1744079942,130,,Aggregated,5.500000,0.000000,5000,5400,5900,6000,6200,6300,6300,6300,6300,6300,6300,80,0,4800.0,5163.453432262213,4575.419024011353,6295.893287999206,67.0
1744079944,140,POST,/create_order,6.400000,0.000000,5300,5900,6200,6200,7200,7300,7300,7300,7300,7300,7300,90,0,5000.0,5397.119903844335,4575.419024011353,7337.122519995319,67.0
1744079944,140,,Aggregated,6.400000,0.000000,5300,5900,6200,6200,7200,7300,7300,7300,7300,7300,7300,90,0,5000.0,5397.119903844335,4575.419024011353,7337.122519995319,67.0
1744079945,150,POST,/create_order,7.700000,0.000000,5900,6200,7200,7300,7600,7800,7800,7800,7800,7800,7800,100,0,5000.0,5624.434501320211,4575.419024011353,7796.248691010987,67.0
1744079945,150,,Aggregated,7.700000,0.000000,5900,6200,7200,7300,7600,7800,7800,7800,7800,7800,7800,100,0,5000.0,5624.434501320211,4575.419024011353,7796.248691010987,67.0
1744079946,160,POST,/create_order,8.000000,0.000000,6200,7200,7500,7600,8200,8300,8400,8400,8400,8400,8400,110,0,5400.0,5865.914169618257,4575.419024011353,8378.702229005285,67.0
1744079946,160,,Aggregated,8.000000,0.000000,6200,7200,7500,7600,8200,8300,8400,8400,8400,8400,8400,110,0,5400.0,5865.914169618257,4575.419024011353,8378.702229005285,67.0
1744079947,170,POST,/create_order,9.000000,0.000000,7200,7600,8100,8300,8600,8600,8700,8700,8700,8700,8700,120,0,5400.0,6093.683290375217,4575.419024011353,8660.471103998134,67.0
1744079947,170,,Aggregated,9.000000,0.000000,7200,7600,8100,8300,8600,8600,8700,8700,8700,8700,8700,120,0,5400.0,6093.683290375217,4575.419024011353,8660.471103998134,67.0
1744079948,180,POST,/create_order,9.000000,0.000000,7300,8200,8400,8600,9500,9600,9600,9600,9600,9600,9600,130,0,6000.0,6360.866666207977,4575.419024011353,9638.56296701124,67.0
1744079948,180,,Aggregated,9.000000,0.000000,7300,8200,8400,8600,9500,9600,9600,9600,9600,9600,9600,130,0,6000.0,6360.866666207977,4575.419024011353,9638.56296701124,67.0
1744079949,190,POST,/create_order,9.000000,0.000000,7800,8600,8700,9600,9600,9800,9800,9800,9800,9800,9800,140,0,6100.0,6597.784981128747,4575.419024011353,9819.644105999032,67.0
1744079949,190,,Aggregated,9.000000,0.000000,7800,8600,8700,9600,9600,9800,9800,9800,9800,9800,9800,140,0,6100.0,6597.784981128747,4575.419024011353,9819.644105999032,67.0
1744079950,200,POST,/create_order,9.000000,0.000000,8400,9400,9600,9600,9800,9800,11000,11000,11000,11000,11000,150,0,6200.0,6825.296866640274,4575.419024011353,10544.835550012067,67.0
